command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,comm_write_fun,resp_read_fun,resp_write_fun,sub_function,command_length,resp_length,HH,H,L,LL,control_mode,control_scheme,pump,crc_rate,measurement,time
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.04
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,0,1.01
7,7,183,233,9,10,3,10,3,10,0,25,21,90,80,20,10,0,1,0,1,0,1.04
7,0,183,0,9,0,3,10,3,0,0,25,123,90,80,20,10,0,1,0,1,-8589938688,1.01
7,7,183,233,10,10,3,10,3,10,10,25,21,90,80,20,10,2,1,0,0,33.005966,1.04
7,7,183,233,10,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,0,32.092213,1.11
7,7,183,233,10,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,0,32.201588,1.16
18,7,183,233,10,10,3,11,3,10,0,25,21,90,80,20,10,2,1,0,0,85.645256,1.14
7,7,183,233,10,10,3,10,3,10,0,25,21,0,0,2,124,2,1,0,0,87.293915,1.12
7,7,183,233,10,10,3,10,3,10,10,25,21,90,80,20,10,2,1,0,0,32.291782,1.28
7,7,183,233,10,10,3,10,3,10,0,25,21,90,80,20,10,2,1,0,0,32.295338,1.12
